City,Latitude,Temperature,Humidity,Clouds,Wind Speed
Pevek,69.7,258.28,72,0,0.74
Tuktoyaktuk,69.44,258.15,71,20,6.7
Iqaluit,63.75,258.15,77,40,7.7
Ushuaia,-54.81,277.15,69,8,3.1
Kapaa,22.08,299.33,74,1,3.6
Pastavy,55.11,283.5,95,100,5.06
Sheridan,39.65,282.32,52,1,2.6
Pochutla,15.74,299.66,69,5,1.77
Chokurdakh,70.62,252.9,95,70,2.47
Vaini,15.34,293.28,73,0,3.6
Wyszkow,52.59,279.5,93,90,2.6
Harper,30.3,285.94,76,1,4.86
Nanortalik,60.14,275.87,78,100,13.75
Sulangan,11.14,302.09,69,6,1.45
Punta Arenas,-53.16,278.9,60,1,7.7
Qaanaaq,77.48,252.55,42,0,2.6
Nioro,13.79,298.55,23,48,0.85
Hobart,-42.88,289.33,36,0,7.7
Margate,-43.03,289.33,36,0,8.2
Golubitskaya,45.32,279.92,81,0,1.0
Santa Ana,30.54,295.59,46,100,1.1
Uvira,-3.41,284.59,94,47,1.49
Santana do Livramento,-30.89,291.45,92,52,5.06
Carnarvon,-30.97,288.53,48,98,2.46
Faanui,-16.48,299.46,80,100,7.52
Touros,-5.2,297.15,88,20,2.1
Kota Kinabalu,5.98,303.15,74,75,3.1
Macouria,5.01,300.15,83,14,2.6
Bull Savanna,17.89,294.79,93,3,0.77
Lar,27.66,285.15,81,0,1.84
Constitucion,23.99,291.15,59,40,2.1
Puerto Ayora,-0.74,294.26,89,8,3.58
Busselton,-33.64,297.79,55,29,0.89
Hilo,19.71,295.63,74,90,2.6
Rikitea,-23.12,296.26,76,100,5.86
Henties Bay,-22.12,287.04,94,0,0.89
Khatanga,71.98,254.79,96,100,7.15
Harwich,41.69,275.09,60,75,2.6
Haines Junction,60.75,254.0,96,0,2.72
Chuy,-33.69,289.74,86,32,4.57
Ribeira Grande,38.52,289.78,86,31,1.88
Guaymas,27.92,299.43,54,75,2.53
Myingyan,21.46,299.15,94,75,1.0
Mataura,-46.19,283.71,88,83,2.68
Tuy Hoa,13.08,295.7,91,100,15.16
Syracuse,43.05,274.59,73,90,4.1
Hermanus,-34.42,288.95,95,55,4.02
Husavik,50.56,263.71,74,94,7.15
Mar del Plata,-46.43,281.92,68,97,7.47
Morondava,-20.3,297.19,62,3,1.28
Porto Novo,-23.68,295.15,83,40,2.6
Fuerte Olimpo,-21.04,300.61,61,19,1.59
Cape Town,-33.93,289.31,87,59,4.1
Pisco,-13.71,291.02,77,31,4.6
Riohacha,11.54,299.28,83,100,2.34
Yerbogachen,61.28,252.79,91,100,5.41
Ulaangom,49.98,272.78,92,100,2.94
Grand-Lahou,5.24,300.73,77,0,3.68
San Patricio,-26.98,294.4,96,100,1.95
Bontang,0.12,303.04,65,12,2.39
Arraial do Cabo,-22.97,296.18,94,100,6.63
Invermere,50.51,274.82,83,100,1.22
Xucheng,33.0,293.25,23,0,8.98
Udachnyy,66.42,247.15,83,75,3.0
Coquimbo,-29.95,286.15,93,0,2.6
Yellowknife,62.45,256.35,70,90,4.1
Aklavik,68.22,259.15,55,20,8.2
Bethel,60.79,269.69,85,1,6.2
Maniitsoq,65.42,276.24,49,100,10.21
Fort-Shevchenko,44.51,282.96,42,38,6.08
Jamestown,-33.21,296.79,17,0,3.9
Nemuro,43.32,279.15,41,20,5.1
Zabki,52.29,279.51,100,100,2.1
Hambantota,6.12,298.15,100,75,2.73
Torbay,47.66,273.09,57,20,9.8
Havre-Saint-Pierre,50.23,267.15,57,40,4.1
Camacha,33.08,292.57,68,40,7.2
Upernavik,72.79,263.87,74,82,2.24
Natal,-5.81,297.76,88,20,2.1
New Norfolk,-42.78,289.33,36,4,8.2
Albany,42.65,272.51,58,90,2.94
Sinazongwe,-17.26,299.26,67,75,1.03
Inhambane,-23.87,296.31,74,72,4.37
Tornio,61.12,275.67,100,90,3.6
Tikhvin,59.64,276.48,95,99,0.89
Ventspils,57.39,282.15,100,75,3.6
Marsa Matruh,31.35,289.15,63,100,3.09
Nalut,31.86,285.16,42,0,1.9
East London,-33.02,291.15,88,75,4.6
Monrovia,6.33,298.15,94,75,1.45
Isangel,-19.55,302.15,58,75,4.1
Bredasdorp,-34.53,289.57,82,95,6.2
Aden,12.79,298.09,68,0,4.41
Codrington,-28.95,300.38,14,0,4.6
Butaritari,3.07,302.47,62,73,0.14
Zhigansk,66.77,258.17,92,100,5.33
Champerico,16.38,297.15,73,5,3.6
Port Alfred,-33.59,291.48,90,100,4.92
Antofagasta,-23.65,289.15,77,90,2.1
Aswan,24.09,295.15,37,0,2.1
Cidreira,-30.17,294.67,88,100,9.54
Szekszard,46.35,281.79,92,100,4.08
Sept-Iles,50.2,266.56,67,90,1.0
Khovu-Aksy,51.13,267.24,80,100,1.69
Souillac,45.6,278.41,87,0,3.1
Victoria,5.28,302.16,66,75,1.5
Bulembu,-25.95,290.55,93,75,2.1
Tayu,35.06,290.15,39,20,3.1
Vostok,46.45,272.1,52,0,2.88
Soyo,-6.13,298.84,88,100,3.69
Atuona,-9.8,299.77,78,3,5.84
Ostrovnoy,68.05,265.92,96,100,1.09
Bambous Virieux,-20.34,296.94,88,75,1.5
Georgetown,6.8,299.51,83,40,4.1
Leningradskiy,69.38,265.66,59,0,2.32
Lahaina,20.87,299.72,88,75,3.6
Kruisfontein,-34.0,288.56,91,96,4.8
Vila Velha,-3.71,301.07,74,20,5.7
Narsaq,60.91,277.15,60,67,20.1
Ponta do Sol,-20.63,293.09,93,100,1.65
Mount Isa,-20.73,305.15,8,43,5.1
Guerrero Negro,27.97,293.78,69,100,4.91
Mount Gambier,-37.83,286.15,76,90,8.2
Arman,59.7,266.46,91,100,7.64
Nikolskoye,59.7,277.72,93,90,2.0
Port Hedland,-20.31,315.15,5,40,3.6
Padang,-0.92,298.78,73,58,1.86
Kutum,14.2,292.15,25,68,2.71
Pozega,43.85,284.27,93,100,1.16
Kodiak,39.95,285.09,57,1,5.7
Atyrau,47.1,277.15,100,90,5.0
Lebu,8.96,283.01,66,7,0.87
Kavaratti,10.57,301.15,78,20,2.1
Podor,16.65,301.03,17,0,4.25
San Juan,-31.54,298.52,41,8,3.86
Bluff,-23.58,303.45,9,27,1.74
Anage,-14.61,293.21,79,2,1.87
Erzin,36.95,289.59,67,40,2.1
Balabac,7.99,302.05,73,34,5.45
Pacific Grove,36.62,285.81,87,90,2.1
La Huacana,18.96,288.71,79,64,1.34
Okha,53.59,269.86,79,100,9.5
Palmer,-34.85,292.79,48,0,2.1
Berlevag,70.86,272.97,72,100,4.38
Sao Filipe,14.9,296.53,83,100,5.4
Saint George,39.45,286.15,93,40,1.04
Cherskiy,68.75,255.11,90,0,1.16
Gizo,31.8,291.06,82,40,0.5
Tutoia,-2.76,296.58,95,0,2.41
Hasaki,35.73,290.49,51,20,2.6
Mackenzie,55.34,261.15,66,90,2.6
Geraldton,49.72,264.15,85,90,2.1
Saint-Philippe,45.36,274.58,47,90,5.1
La Ronge,55.1,260.15,65,75,3.6
Saskylakh,71.97,255.01,98,100,0.95
Port Elizabeth,39.31,271.2,73,1,1.49
Kashan,33.99,278.15,60,0,0.61
Ponta Delgada,37.73,288.15,87,20,2.6
Barrow,-38.31,280.94,67,0,3.48
Maragogi,-9.01,299.51,75,24,6.31
Jiayuguan,39.77,281.12,18,0,0.53
Kikwit,-5.04,294.38,97,100,0.38
Takoradi,4.89,299.82,81,70,3.42
Walvis Bay,-22.95,286.58,93,0,3.1
Eureka,40.8,283.01,100,90,1.33
Te Anau,-45.41,282.29,79,48,2.66
Rutland,43.61,272.22,63,90,2.6
Chulman,56.84,260.82,90,100,0.98
Klaksvik,62.23,274.15,74,94,1.0
Luderitz,-26.65,289.15,87,20,5.1
Mbandaka,0.05,294.69,93,10,1.15
Richards Bay,-28.77,293.43,80,98,7.53
Ambilobe,-13.19,297.63,78,21,4.07
Hithadhoo,-0.6,300.93,74,1,4.09
Castro,-42.48,284.15,93,100,2.1
Simplicio Mendes,-7.85,298.29,38,32,0.55
Port Blair,11.67,300.86,72,19,1.56
Gat,14.69,296.15,83,64,7.2
Avarua,-21.21,298.15,78,0,4.1
Biak,-0.91,300.14,80,88,8.73
Santa Maria,-16.02,295.15,64,0,1.5
Kaitangata,-46.28,283.71,83,99,3.58
Ukiah,39.15,285.53,37,3,0.45
Lasa,34.92,293.01,40,20,3.6
Vredendal,-31.68,287.66,83,82,1.87
Bowen,-20.01,302.79,30,0,7.7
Bitung,1.44,302.15,66,20,2.6
Talcahuano,-36.72,288.15,77,100,3.1
Anisoc,1.87,293.52,99,100,0.86
Plettenberg Bay,-34.05,289.9,83,93,3.87
Ca Mau,9.18,302.2,62,100,1.9
Beberibe,-4.18,301.96,74,20,5.7
Kamenka,48.03,287.04,89,98,3.13
Nautla,20.22,291.41,91,99,0.96
Saint Anthony,43.97,274.62,64,1,1.5
Komsomolskiy,67.55,251.88,100,35,1.7
Chuhar Kana,31.75,288.15,77,0,1.5
Coahuayana,18.62,296.91,75,8,1.48
Rabo de Peixe,37.8,288.15,87,20,2.6
Wamba,2.14,292.09,96,100,0.71
Bathsheba,13.22,300.15,83,75,8.2
Auki,12.18,297.98,27,21,2.45
Kavieng,-2.57,298.85,91,100,6.08
Norman Wells,65.28,252.15,91,20,2.1
Sungairaya,0.7,305.18,57,15,1.69
Mamallapuram,12.63,301.68,83,83,1.5
Pangnirtung,66.15,266.8,67,100,2.25
Barwadih,26.9,298.39,62,0,1.58
Saldanha,41.42,277.64,89,100,2.77
Tarakan,3.3,302.15,74,20,1.5
Mahebourg,-20.41,296.99,88,75,1.5
Portland,43.66,272.78,31,75,4.1
Caravelas,-17.73,293.9,95,0,2.72
Pokrovskoye,47.41,281.57,89,67,4.79
Sinnamary,5.38,300.72,84,38,5.27
Petropavlovsk-Kamchatskiy,53.05,278.15,65,40,3.0
Trairi,-3.28,297.63,82,93,3.34
Cabedelo,-6.97,298.15,83,20,3.6
Fortuna,40.6,283.01,100,90,1.16
Noshiro,40.21,282.24,70,75,3.1
Provideniya,64.42,274.39,99,100,1.49
Taoudenni,22.68,293.28,23,99,5.5
Makakilo City,21.35,299.67,65,75,2.1
Airai,-8.93,302.56,34,77,3.86
Oneonta,42.45,272.1,57,55,2.68
Upanema,-5.64,297.43,71,2,5.93
Rio Gallegos,-51.62,278.15,72,0,6.7
Arvika,59.65,271.16,92,92,4.6
Buin,-33.73,297.3,31,0,3.1
Thompson,55.74,256.15,77,75,3.6
Butembo,0.12,288.79,91,54,1.91
Quilmana,-12.95,289.66,91,68,2.3
Skibbereen,51.55,278.15,86,20,1.0
Karratha,-20.74,301.33,54,44,5.82
Dingle,11.0,302.21,75,33,1.14
Tuatapere,-46.13,283.71,88,100,2.68
Kirovskiy,45.09,277.03,41,20,2.54
Alofi,-19.06,300.15,69,0,6.2
Zyryanka,65.73,255.41,93,100,9.25
Moose Factory,51.26,260.15,84,90,2.6
At-Bashi,41.17,272.04,57,0,0.47
Jumla,29.28,282.86,42,0,0.21
Maldonado,-34.91,289.15,87,20,2.1
Kashin,57.36,277.66,94,100,5.37
Tual,-5.67,302.08,67,100,1.54
Verkhoyansk,67.55,244.43,90,0,0.68
Dutse,11.76,298.37,28,100,2.68
Esil,51.96,260.26,86,0,3.42
Skjervoy,70.03,271.01,51,0,3.56
Salalah,17.01,298.15,73,40,1.5
Sioux Lookout,50.1,266.15,85,90,2.6
Comodoro Rivadavia,-45.87,282.15,76,73,3.6
Tiznit,29.7,286.29,32,0,1.05
Talnakh,69.49,245.15,75,91,5.62
Tasiilaq,65.61,275.15,69,100,17.5
Sandviken,60.62,269.45,86,100,4.02
Turayf,31.68,285.15,40,0,4.1
Pucallpa,-8.38,300.15,83,40,1.0
Kiama,-34.67,293.94,31,90,5.7
Ilhabela,-23.78,296.92,88,100,3.84
Cockburn Town,21.46,301.11,77,2,4.54
San-Pedro,4.75,300.5,81,0,4.64
Lompoc,34.64,286.9,93,75,6.36
Sorland,67.67,273.69,65,0,6.94
Hamilton,43.26,275.95,69,75,6.2
Svobodnyy,53.85,276.48,100,100,1.79
Winona,43.21,276.33,69,75,6.2
Matara,-3.48,287.82,87,38,2.42
Los Llanos de Aridane,28.66,293.15,77,90,7.2
Kenai,60.55,272.56,64,1,2.6
Conde,-11.81,299.1,79,7,7.66
Omsukchan,62.53,257.31,96,100,3.06
Dikson,73.51,267.74,93,100,9.12
Broome,52.47,277.69,86,44,1.0
Meulaboh,4.14,300.05,80,97,2.19
Yulara,-25.24,304.15,8,0,4.1
Vila Franca do Campo,37.72,288.15,87,20,2.6
Fairbanks,64.84,257.9,91,1,1.94
Lerwick,60.15,277.15,56,50,7.7
Khilok,51.36,270.82,62,100,6.52
Moree,-29.46,299.15,14,0,8.7
Kununurra,-15.77,311.15,33,65,2.6
Prince Rupert,54.32,283.15,93,90,4.6
Xai-Xai,-25.04,293.97,82,100,0.18
Soe,57.91,281.95,100,100,2.6
Kulhudhuffushi,6.62,300.86,66,0,1.4
Batsfjord,70.63,260.59,96,1,0.64
Verkhnyaya Inta,65.99,255.22,94,49,1.43
Troitsko-Pechorsk,62.71,259.93,93,100,1.92
Zhezkazgan,47.8,272.15,80,90,11.0
Ballina,54.11,275.55,90,34,1.72
Niamey,13.52,299.15,41,0,0.5
Mayo,63.59,251.15,63,5,2.6
Buarcos,40.16,286.22,71,20,6.7
Yuzhno-Sukhokumsk,44.66,282.88,89,7,2.21
Vitoria,-8.36,298.46,69,3,1.27
Zhicheng,35.04,291.13,20,0,6.11
Half Moon Bay,37.46,285.28,100,90,3.1
Evensk,61.92,268.2,87,100,8.18
Bealanana,-14.54,289.48,90,92,0.35
Katsuura,33.93,290.15,48,40,2.6
Dunedin,-45.87,284.82,80,100,4.92
Makat,47.65,275.01,74,51,5.26
Tazovskiy,67.47,250.72,97,87,3.8
San Policarpo,12.18,304.61,58,31,1.72
Canoinhas,-26.18,290.5,99,60,1.0
Lagoa,37.14,286.51,71,100,6.7
Mata de Sao Joao,-12.53,300.15,78,40,6.7
Sao Joao da Barra,-21.64,297.22,89,100,5.17
Marrakesh,31.63,283.15,61,0,2.6
New Philadelphia,40.49,274.85,59,90,1.5
Reyes,-14.3,295.56,97,100,0.93
Birobidzhan,48.79,273.13,46,21,1.24
Namibe,-15.19,297.76,76,8,4.22
Surt,31.21,291.8,69,52,5.04
Clyde River,70.47,265.15,85,90,15.9
Terra Rica,-22.73,295.95,83,96,1.08
Umm Lajj,25.02,297.37,50,15,2.46
Dawson Creek,55.76,258.54,84,90,3.1
Noumea,-22.28,301.33,51,0,5.7
Cayenne,4.94,300.15,83,14,2.6
Ancud,-41.87,284.15,93,100,2.1
Sobolevo,54.43,282.71,97,100,4.43
Pamekasan,-7.16,305.12,51,5,2.33
Traralgon,-38.19,286.39,85,98,4.47
Vao,59.1,280.6,97,100,4.07
Mareeba,-16.99,306.12,41,0,6.2
Villarrobledo,39.27,279.39,95,81,3.13
Fatehabad,27.03,296.27,36,0,3.05
Ingham,-18.65,304.86,33,6,4.09
Tiarei,-17.53,301.01,69,75,1.0
Kasamwa,-2.84,292.42,81,3,0.22
Oranjemund,-28.55,287.16,96,100,1.52
Itaituba,-4.26,295.3,97,92,0.79
Longyearbyen,78.22,268.15,73,40,4.6
Baiyin,36.55,278.15,52,0,1.0
Sangar,63.92,253.34,81,100,3.9
Baghdad,33.3,284.15,66,0,1.0
Nome,30.04,281.98,93,1,1.14
Qianguo,45.12,280.27,85,100,5.67
La Asuncion,-26.05,288.52,93,93,1.11
Tiksi,71.64,246.68,99,72,1.6
Popova,43.33,284.15,93,40,0.5
Itarema,-2.92,298.37,82,100,3.82
Tenenkou,14.46,304.08,17,99,4.86
Loei,17.49,297.15,69,4,1.0
Termoli,42.0,283.71,73,48,4.5
Ocean City,30.44,282.99,71,1,2.34
Ust-Omchug,61.13,255.92,94,100,4.32
Emilio Carranza,19.97,295.54,81,99,10.32
Namatanai,-3.66,298.55,89,100,9.78
Laureles,29.18,297.5,44,75,2.1
Nexo,55.06,280.15,87,100,6.7
Butia,-21.88,293.15,100,84,1.5
Wloszczowa,50.85,278.51,99,100,0.85
Jalu,29.03,295.2,29,71,5.43
Havelock,34.88,278.12,80,1,1.64
Tran,42.84,279.15,93,87,1.5
Yuzhno-Kurilsk,44.03,278.73,56,65,7.54
Bhag,29.04,294.49,28,0,1.06
Vadso,70.07,251.15,83,99,3.6
Grand Gaube,-20.01,296.71,88,75,1.5
Carutapera,-1.2,300.65,80,100,6.26
Barzas,55.72,258.15,84,40,2.0
Ahipara,-35.17,293.71,100,100,10.83
Moron,18.56,299.44,82,0,1.93
Puerto Madryn,-42.77,283.13,73,32,7.26
Usinsk,66.0,254.47,98,72,3.3
Srivardhan,18.03,297.52,79,0,1.86
Gunjur,13.18,296.15,69,5,2.6
Corowa,-36.0,291.95,42,90,6.7
Najran,17.54,289.15,38,0,0.45
Essau,13.48,296.15,69,5,2.6
Shrewsbury,39.77,272.66,67,5,3.39
Dubrovka,59.85,277.72,93,90,2.0
Sao Felix do Xingu,-6.64,295.63,98,100,0.84
Corralillo,22.98,298.25,83,58,9.23
Thai Binh,20.45,298.15,53,4,3.1
Sitka,37.17,283.15,38,0,1.34
Mitsamiouli,-11.38,299.66,80,100,4.43
Avera,33.19,276.19,100,1,1.3
Capao da Canoa,-29.75,294.67,88,100,9.54
Svetlaya,46.54,274.92,44,0,4.76
Viedma,-40.81,283.35,71,0,1.81
Tolaga Bay,-38.37,290.46,91,100,17.72
Coihaique,-45.58,284.15,93,20,1.51
Kiruna,67.86,253.15,83,0,2.69
Vaitape,-16.52,299.46,80,100,7.52
Madingou,-4.17,296.12,96,100,1.15
Chapais,49.78,267.15,92,90,1.0
Sinop,42.03,289.44,54,0,3.54
Helong,25.94,294.28,37,100,1.68
Boddam,57.47,272.96,64,100,3.1
Opuwo,-18.06,293.79,50,100,3.69
Halifax,44.65,270.58,68,20,3.6
Luzhou,28.89,291.31,66,100,1.95
Dwarka,28.58,296.03,59,0,2.1
Kaeo,-35.1,292.85,100,100,10.78
Cabo San Lucas,22.89,299.45,61,75,3.1
Quatre Cocos,-20.21,296.85,88,75,1.5
Ternate,14.29,303.34,74,75,2.6
Newport,51.59,277.69,93,100,7.7
Glendive,47.11,270.6,92,90,7.7
Papara,-3.98,301.09,74,20,5.7
Santa Rosa,-36.62,289.32,51,0,3.18
Ullapool,57.9,272.93,82,9,0.45
San Pedro,-33.68,289.7,87,0,1.34
Flinders,-34.58,295.05,31,90,5.7
Shelburne,44.08,274.6,64,90,5.1
Kathu,-27.7,289.82,27,32,3.03
Boguchany,58.38,255.18,84,100,4.19
Puerto Ayacucho,5.66,296.27,96,94,1.0
Severo-Kurilsk,50.68,272.7,88,88,11.01
Salcedo,19.38,298.74,88,40,1.5
Honningsvag,70.98,272.16,65,0,5.54
Edd,13.93,300.8,41,0,1.99
Kupang,-10.16,305.15,52,20,4.1
Garowe,8.41,294.45,72,0,3.62
Agirish,61.92,258.18,91,5,1.22
Bubaque,11.28,301.63,65,6,4.9
Nabire,-3.36,306.5,47,84,2.08
Trelew,-43.25,280.71,77,35,7.43
Vardo,39.62,272.99,74,75,1.5
Beyneu,45.32,278.55,92,8,4.66
Dutlwe,-23.98,296.28,50,52,7.19
Moranbah,-22.0,303.94,10,2,4.6
Oda,35.19,290.15,48,75,5.7
Sheopur,25.67,296.13,48,0,2.67
Amapa,15.09,297.8,88,75,2.6
Khandyga,62.65,247.92,89,6,0.77
Matadi,-5.83,296.75,96,100,1.54
Longkou,37.64,285.54,55,66,8.39
Severnoye,54.09,270.57,87,100,1.73
Staryy Nadym,65.61,249.97,100,0,2.0
Anloga,5.79,300.15,78,20,1.5
Begamganj,23.6,294.73,58,0,2.73
Vila do Maio,15.13,298.15,69,40,7.2
Blagoyevo,63.37,265.34,93,100,3.25
Munai,7.97,302.36,54,36,1.76
Aguimes,27.91,292.77,64,75,12.9
Bugac,46.69,283.43,100,90,2.1
Baykit,61.68,248.87,89,99,3.16
Shingu,33.72,291.15,52,20,1.5
Port Lincoln,-34.72,292.85,46,0,4.44
Longonjo,-12.91,289.27,96,100,1.32
Three Hills,51.7,263.31,78,90,4.1
Balclutha,-46.24,283.71,83,99,3.58
Qasigiannguit,68.82,276.15,29,79,10.8
Banda Aceh,5.56,302.41,66,37,1.05
Broken Hill,-31.97,293.15,30,0,5.1
Baruun-Urt,46.68,276.37,56,56,4.08
Tucurui,-3.77,298.04,86,0,1.53
Kiunga,-6.12,304.94,54,90,1.45
Dukat,40.25,288.15,96,67,4.67
Lata,30.78,273.72,12,0,1.07
Beringovskiy,63.05,273.13,99,100,2.46
Lake Charles,30.23,281.19,87,5,1.48
Iralaya,15.0,301.28,77,5,5.26
Sierra Vista,31.55,290.22,55,1,1.5
Sagua de Tanamo,20.58,294.14,95,58,0.24
Port-Gentil,-0.72,300.4,80,100,2.93
Turtas,58.94,259.29,91,32,1.58
Laguna,16.17,298.15,94,40,0.38
Ankpa,7.37,295.99,84,100,1.71
Erdemli,36.61,296.61,54,0,5.19
Esparta,15.74,296.15,100,75,0.61
Khani,41.96,288.15,44,0,6.7
Nishihara,35.74,290.95,42,20,2.1
La Orilla,18.0,298.41,86,0,1.17
Yumen,40.29,279.13,23,0,5.45
Dakar,14.69,296.15,83,1,7.2
Zhanaozen,43.35,281.8,38,0,4.59
Alta Floresta,-9.87,294.72,98,100,1.83
Tigil,57.8,273.93,53,66,3.92
Molokovo,58.16,277.07,96,100,4.44
Asyut,27.18,298.15,44,7,3.1
Union,34.72,274.41,54,1,0.41
Vrangel,42.73,280.99,81,100,8.6
Whitehorse,60.72,256.7,71,40,2.1
Irbeyskoye,55.64,264.04,60,100,4.5
Saint-Pierre,48.95,275.97,93,65,5.1
Alice Springs,-23.7,300.15,10,0,4.6
Guozhen,29.3,296.12,29,82,3.75
Chaumont,48.11,275.0,93,100,3.6
Hobyo,5.35,298.43,81,9,4.37
Haifa,32.82,297.59,26,62,0.89
Liku,-0.73,299.57,74,100,1.59
Taltal,-25.41,285.42,90,48,1.03
Tura,64.27,248.59,94,100,2.02
Esperance,-33.86,310.15,9,33,9.8
Betafo,-19.84,289.15,68,64,0.91
Constantine,36.36,277.15,80,40,1.5
Doha,25.29,298.42,83,46,0.5
General Roca,-39.03,294.15,35,100,1.5
Kodinsk,58.6,256.15,86,100,4.83
Qiryat Shemona,33.21,296.09,40,18,2.1
Navolato,24.76,299.47,69,75,2.6
Stralsund,54.31,277.15,100,75,1.5
Rassvet,49.11,277.34,77,12,3.63
Chandbali,20.77,299.59,74,100,4.23
Chadan,51.29,271.2,50,100,1.77
Corridonia,43.25,283.34,93,100,2.1
Valdivia,-39.81,288.15,72,100,2.6
Rome,41.89,282.31,93,59,3.1
Amot,59.57,265.07,87,95,1.47
Bandarbeyla,9.49,299.45,72,0,6.76
Alcacer do Sal,38.37,286.25,77,100,3.6
Hovd,63.83,267.27,85,90,2.1
Ormara,25.21,298.75,47,88,1.69
Waingapu,-9.65,300.95,70,0,1.1
Marzuq,14.4,289.89,58,0,0.84
Atar,20.52,296.0,21,100,4.17
Bud,62.91,266.78,79,62,2.6
Casa Grande,-7.74,291.15,82,75,4.1
Ambulu,-8.35,299.15,82,0,2.78
Dhidhdhoo,6.88,300.91,65,2,1.62
North Platte,41.12,284.44,28,1,5.1
Mandalgovi,45.76,274.49,49,0,7.65
Ayan,38.23,271.86,30,0,0.56
Miracema do Tocantins,-9.56,296.81,79,23,0.48
Yantal,56.85,259.03,85,100,5.02
Caraquet,47.79,270.45,79,75,3.1
Deputatskiy,69.3,247.83,99,99,0.95
Port Hardy,50.7,283.15,93,90,1.0
Plouzane,48.38,282.14,76,75,8.2
Ratnagiri,16.98,296.79,72,0,0.55
Shaping,29.23,285.8,81,100,0.57
Roald,62.58,266.39,80,0,5.7
Harnosand,62.63,267.24,85,100,5.7
Terrace,54.52,282.15,93,75,7.2
Rexburg,43.82,274.63,64,1,1.5
Ilulissat,69.22,276.15,29,79,10.8
Mozarlandia,-14.74,298.56,65,1,0.99
Neuquen,-38.95,294.15,35,100,1.5
Necochea,-38.55,279.26,83,0,0.89
Storm Lake,42.64,277.13,80,1,5.7
